Название вакансии,Компания,Зарплата,Ссылка,Опыт работы
Team lead back-end developer (php / go),ООО Фитмост,"от 250 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/116707542?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Преподаватель компьютерных курсов для детей,Компьютерная академия TOP (Компьютерная Академия ТОП),Не указана,https://novosibirsk.hh.ru/vacancy/117371475?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Ведущий разработчик Битрикс24,ООО Мантера-Групп,Не указана,https://novosibirsk.hh.ru/vacancy/116510096?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Тестировщик ПО (Junior QA ),MACRO,"60 000 – 70 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/116822022?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Системный аналитик (младший),ТОО Ломбард Деньги населению,Не указана,https://novosibirsk.hh.ru/vacancy/116700154?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Senior Back-end разработчик (PHP/Laravel),BANKON24,"от 200 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/117398458?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Senior QA инженер CRM,ТОО Bilim Land (Bilim Media Group),Не указана,https://novosibirsk.hh.ru/vacancy/117432907?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Ведущий инженер-программист,ООО Магнитогорская энергетическая компания,"80 259 – 107 767 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/116825181?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Junior SEO-специалист,ООО МАКСБИТСОЛЮШЕН,"от 800 $ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/117385702?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Младший системный администратор с навыками SEO,Актимед плюс,"от 70 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/117113493?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Младший системный администратор с навыками SEO,Актимед плюс,"от 70 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/117113493?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Разработчик Back-End Java / BigData (Junior to Senior),ООО Kameleoon,"75 000 – 350 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/116932284?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Junior разработчик,ЮниВеб,"35 000 – 60 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/76806710?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Junior - middle fullstack разработчик,ТОО AlmaTech,"от 500 000 ₸ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/117082990?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Middle Fullstack PHP-разработчик (отдел поддержки сайтов),Пиксель Плюс,Не указана,https://novosibirsk.hh.ru/vacancy/108336994?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Менеджер по подбору персонала/рекрутер,ООО Информационные технологии бизнеса,"40 000 – 60 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/117069130?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Junior Devops / Системный администратор Jira(SaaS-сервисов),ООО Сервер в Аренду,"70 000 – 80 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/116006587?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Junior QA Engineer,MaxLine,Не указана,https://novosibirsk.hh.ru/vacancy/117250233?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Специалист по взаимодействию с партнерами по вопросам интеграции импорта данных,Клиенты Из интернеТа,"от 100 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/117373971?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Ведущий инженер-программист (Битрикс / PHP-программист),Техдиректор,"100 000 – 160 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/116335729?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Преподаватель онлайн-курса Разработчик Битрикс24,ООО Отус,Не указана,https://novosibirsk.hh.ru/vacancy/116804000?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Бизнес аналитик | Системный аналитик,ООО Мастерская Цифровых Решений,Не указана,https://novosibirsk.hh.ru/vacancy/116567882?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Младший инженер по тестированию ПО,ООО Базальт СПО,"до 90 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/115744753?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Разработчик PHP/Битрикс Junior (в офис),ООО Дрим Тим,"65 000 – 120 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/117272405?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
"Backend-разработчик PHP (Junior/Middle, Bitrix)",ООО Д-проджект,"130 000 – 170 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/107878982?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Программист PHP,ООО Пеопла,"от 80 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/117271462?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Администратор Linux,QSOFT,Не указана,https://novosibirsk.hh.ru/vacancy/117275664?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Junior-программист,UTLab,"от 50 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/115498282?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
"Fullstack junior PHP разработчик (Symfony, Laravel; React)",Колос Студио,"до 130 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/115545725?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Младший программист (маркировка),Первый Бит,"до 50 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/116827270?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Младший программист(маркировка),Первый Бит,"от 50 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/107769475?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Младший программист(маркировка),Первый Бит,"от 50 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/107769476?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Младший программист (маркировка),Первый Бит,"от 50 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/116491334?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Младший программист (маркировка),Первый Бит,"от 50 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/115911828?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Младший программист (маркировка),Первый Бит,"до 50 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/116827271?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
